[2025-05-19 22:11:10] [INFO] Current brightness percentage: 34
[2025-05-19 22:11:10] [INFO] Setting brightness to 29%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 29
[2025-05-19 22:11:10] [INFO] Setting brightness to 34%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 34
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 34
[2025-05-19 22:11:10] [INFO] Setting brightness to 39%
[2025-05-19 22:11:10] [INFO] Setting brightness to 39%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 38
[2025-05-19 22:11:10] [INFO] Setting brightness to 43%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 43
[2025-05-19 22:11:10] [INFO] Setting brightness to 48%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 47
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 47
[2025-05-19 22:11:10] [INFO] Setting brightness to 52%
[2025-05-19 22:11:10] [INFO] Setting brightness to 52%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 52
[2025-05-19 22:11:10] [INFO] Setting brightness to 57%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 52
[2025-05-19 22:11:10] [INFO] Setting brightness to 57%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 56
[2025-05-19 22:11:10] [INFO] Setting brightness to 61%
[2025-05-19 22:11:10] [INFO] Current brightness percentage: 61
[2025-05-19 22:11:10] [INFO] Setting brightness to 66%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 65
[2025-05-19 22:11:11] [INFO] Setting brightness to 70%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 70
[2025-05-19 22:11:11] [INFO] Setting brightness to 75%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 74
[2025-05-19 22:11:11] [INFO] Setting brightness to 79%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 78
[2025-05-19 22:11:11] [INFO] Setting brightness to 83%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 78
[2025-05-19 22:11:11] [INFO] Setting brightness to 83%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 83
[2025-05-19 22:11:11] [INFO] Setting brightness to 88%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 87
[2025-05-19 22:11:11] [INFO] Setting brightness to 92%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 92
[2025-05-19 22:11:11] [INFO] Setting brightness to 97%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 96
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 96
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:11:11] [INFO] Current brightness percentage: 100
[2025-05-19 22:11:11] [INFO] Setting brightness to 100%
[2025-05-19 22:12:05] [INFO] Decreasing volume by 5%
[2025-05-19 22:12:05] [INFO] Decreasing volume by 5%
[2025-05-19 22:12:05] [INFO] Decreasing volume by 5%
[2025-05-19 22:12:05] [INFO] Volume changed to 75%
[2025-05-19 22:12:05] [INFO] Volume changed to 75%
[2025-05-19 22:12:05] [INFO] Volume changed to 70%
[2025-05-19 22:12:05] [INFO] Decreasing volume by 5%
[2025-05-19 22:12:05] [INFO] Volume changed to 65%
[2025-05-19 22:12:06] [INFO] Decreasing volume by 5%
[2025-05-19 22:12:06] [INFO] Volume changed to 60%
[2025-05-19 22:12:06] [INFO] Decreasing volume by 5%
[2025-05-19 22:12:06] [INFO] Volume changed to 55%
[2025-05-19 22:12:06] [INFO] Increasing volume by 5%
[2025-05-19 22:12:06] [INFO] Increasing volume by 5%
[2025-05-19 22:12:06] [INFO] Increasing volume by 5%
